OBJECTID,addrptid,FullAddNum,RoadName,FullAddr,NumPoints,PointType,LUC,parcel_id,loc_id,Notes,AddrStatus,last_edited_user,last_edited_date,GlobalID,lng,lat
1,ADDR-102,94,MASS AVE,94 MASS AVE,1,,332,001.0-0001-0003.A,F_753706_2972003,,Current,,,3e68d0db-b1b1-4e6f-86fc-5f307343b4d9,-71.13886074449027,42.4027351044787
2,ADDR-113,43,THORNDIKE ST,43 THORNDIKE ST,1,Residential,101,001.0-0001-0014.0,F_753332_2971661,,Current,,,e5ef842b-c1b9-4a7b-be18-b142feb81f9a,-71.1401705330537,42.40175962389751
3,ADDR-135,10,MAGNOLIA ST,10 MAGNOLIA ST,1,Residential,105,001.0-0001-0036.0,F_753563_2972007,,Current,SBRUNTON,1693273678000.0,db3973f8-0dd8-4ed0-b7ff-d20486f02447,-71.13941871476048,42.40279460680646
4,ADDR-151,37,FAIRMONT ST,37 FAIRMONT ST,1,Residential,101,001.0-0002-0015.0,F_753463_2971456,,Current,SBRUNTON,1693273440000.0,74c9e9ee-2d9e-4f18-a35c-cf3cba7eb335,-71.13971986988741,42.40121990272219
5,ADDR-152,39,FAIRMONT ST,39 FAIRMONT ST,1,Residential,101,001.0-0002-0016.0,F_753433_2971428,,Current,SBRUNTON,1693273440000.0,4e48caeb-32d3-4b31-a3f3-80b61ab864be,-71.13983184964228,42.401146676210324
6,ADDR-155,47,FAIRMONT ST,47 FAIRMONT ST,1,Residential,101,001.0-0002-0019.0,F_753344_2971348,,Current,SBRUNTON,1693273440000.0,d817ea64-1687-48a3-bca4-84cae3efb49c,-71.1401460050509,42.400942229029845
7,ADDR-158,64,THORNDIKE ST,64 THORNDIKE ST,1,Residential,101,001.0-0002-0022.0,F_753277_2971422,,Current,,,b4912f27-dc4f-4c34-9d58-9a54393bee3a,-71.140522329446,42.40122936580314
8,ADDR-160,54,THORNDIKE ST,54 THORNDIKE ST,1,Residential,101,001.0-0002-0024.0,F_753336_2971476,,Current,,,7eeec30f-28ee-4827-a0e6-47c3ae5ae825,-71.14030848543285,42.40138143249233
9,ADDR-184,25,LAFAYETTE ST,25 LAFAYETTE ST,1,Residential,101,001.0-0003-0011.0,F_753757_2971398,,Current,SBRUNTON,1693273440000.0,875270f3-05c2-4b5e-b046-cebb7ddcbdec,-71.13865500310425,42.401070440965924
10,ADDR-185,27,LAFAYETTE ST,27 LAFAYETTE ST,1,Residential,101,001.0-0003-0012.0,F_753727_2971372,,Current,SBRUNTON,1693273440000.0,52cabd56-889a-49c8-a065-e011b1efdb72,-71.13875122081316,42.401000183741004
11,ADDR-212,7,BOULEVARD RD,7 BOULEVARD RD,1,,331,001.0-0004-0003.0,F_754118_2971403,,Current,,,94bf3d23-1881-4887-a327-fc77dae0385f,-71.13723525785394,42.401023543484285
12,ADDR-213,11,BOULEVARD RD,11 BOULEVARD RD,1,,332,001.0-0004-0004.0,F_754089_2971375,,Current,,,65e2901e-7da6-4082-9ea5-2cc2032cd1a6,-71.13732895820746,42.400957874527265
13,ADDR-221,30,LAFAYETTE ST,30 LAFAYETTE ST,1,Residential,101,001.0-0004-0013.0,F_753828_2971299,,Current,SBRUNTON,1693273440000.0,7b8fa3fd-904a-429c-a911-b271ad5e8098,-71.13844990476814,42.40082508863893
14,ADDR-222,28,LAFAYETTE ST,28 LAFAYETTE ST,1,Residential,101,001.0-0004-0014.A,F_753877_2971333,,Current,,,41c5f61e-1c8e-4c3e-86f6-117d0ea94ad1,-71.13833898800583,42.40095204034801
15,ADDR-228,103,THORNDIKE ST,103 THORNDIKE ST,1,Residential,101,002.0-0001-0020.0,F_752858_2971246,,Current,,,c0c5c60a-8770-4713-a8c5-d0886178b99c,-71.14193395639717,42.40064725971928
16,ADDR-231,127,THORNDIKE ST,127 THORNDIKE ST,1,Residential,101,002.0-0001-0027.0,F_752562_2971027,,Current,,,f4884a0d-087e-4f37-9c34-125f4561713c,-71.14306977851064,42.400027359943614
17,ADDR-232,131,THORNDIKE ST,131 THORNDIKE ST,1,Residential,101,002.0-0001-0028.0,F_752525_2970999,,Current,,,f09fcaa4-a5a9-4a9b-b0c5-30de8ef6887b,-71.14319706483542,42.39995233565873
18,ADDR-233,133,THORNDIKE ST,133 THORNDIKE ST,1,Residential,101,002.0-0001-0029.0,F_752489_2970973,,Current,,,7b775548-b73e-4938-8845-5f0da1ad2273,-71.14332149487934,42.39987930009723
19,ADDR-237,72,MAGNOLIA ST,72 MAGNOLIA ST,1,Residential,101,002.0-0002-0002.0,F_752929_2971429,,Current,,,27d23753-e764-445b-8d20-b46394e162c9,-71.14180822643826,42.4012467335273
20,ADDR-249,132,THORNDIKE ST,132 THORNDIKE ST,1,Residential,101,002.0-0003-0002.0,F_752597_2970874,,Current,SBRUNTON,1693273085000.0,70527bd1-3d90-499f-b1d0-6046877414b7,-71.1429394001235,42.39962372815137
21,ADDR-255,114,THORNDIKE ST,114 THORNDIKE ST,1,Residential,101,002.0-0003-0009.0,F_752824_2971044,,Current,SBRUNTON,1693273325000.0,835fe19d-d7af-4424-949a-6b830b3bba8f,-71.14217181390717,42.400184741680285
22,ADDR-256,112,THORNDIKE ST,112 THORNDIKE ST,1,Residential,101,002.0-0003-0010.0,F_752856_2971067,,Current,SBRUNTON,1693273325000.0,00268032-84e1-400a-b05b-80e464cb5f1a,-71.14196431684057,42.4001705858527
23,ADDR-257,110,THORNDIKE ST,110 THORNDIKE ST,1,Residential,101,002.0-0003-0011.0,F_752889_2971092,,Current,,,25b6d76a-bf05-472d-80c3-cbdeb1c135c9,-71.14190362061676,42.40027867794694
24,ADDR-259,100,THORNDIKE ST,100 THORNDIKE ST,1,Residential,101,002.0-0003-0014.0,F_752988_2971165,,Current,,,3d58911c-9993-435c-a81c-0b1bf210bca1,-71.14159698544819,42.400538895862304
25,ADDR-261,81,FAIRMONT ST,81 FAIRMONT ST,1,Residential,101,002.0-0003-0016.0,F_753009_2971067,,Current,SBRUNTON,1693273325000.0,c51365ce-71f8-4c03-bd2c-047f524442aa,-71.14143561706595,42.40018234764684
26,ADDR-262,85,FAIRMONT ST,85 FAIRMONT ST,1,Residential,101,002.0-0003-0017.0,F_752978_2971043,,Current,SBRUNTON,1693273325000.0,b1d2ca77-5229-4c14-8a0c-36e6a48f761e,-71.14156748492101,42.40014311108383
27,ADDR-263,87,FAIRMONT ST,87 FAIRMONT ST,1,Residential,101,002.0-0003-0018.0,F_752947_2971019,,Current,SBRUNTON,1693273325000.0,136ee5d6-42ea-423c-a348-6b511c9f46f4,-71.1416548024028,42.400059657142975
28,ADDR-264,89,FAIRMONT ST,89 FAIRMONT ST,1,Residential,101,002.0-0003-0019.0,F_752914_2970994,,Current,SBRUNTON,1693273325000.0,f46112cd-8829-43db-a72e-640fe94f647a,-71.14180050294026,42.40000620477982
29,ADDR-270,107,FAIRMONT ST,107 FAIRMONT ST,1,Residential,104,002.0-0003-0025.0,F_752708_2970835,,Current,SBRUNTON,1690031271000.0,a14dc2af-61bc-418d-982c-3f90917836e5,-71.14263028784363,42.39967239290169
30,ADDR-271,109,FAIRMONT ST,109 FAIRMONT ST,1,Residential,101,002.0-0003-0026.0,F_752667_2970805,,Current,SBRUNTON,1693273085000.0,3f146d83-e0ac-4158-8086-ad6117bece8e,-71.1426454851887,42.399464267876546
31,ADDR-272,111,FAIRMONT ST,111 FAIRMONT ST,1,Residential,101,002.0-0003-0027.0,F_752627_2970779,,Current,SBRUNTON,1693273085000.0,70120005-844d-48cc-ab11-a04d7d3317a4,-71.142854026883,42.39941331760993
32,ADDR-276,76,THORNDIKE ST,76 THORNDIKE ST,1,Residential,105,002.0-0004-0005.0,F_753188_2971341,,Current,SBRUNTON,1690031953000.0,b494467a-37fc-4d81-9c1b-09bb5acdb328,-71.14087510878062,42.40101726428086
33,ADDR-278,51,FAIRMONT ST,51 FAIRMONT ST,1,Residential,101,002.0-0004-0007.0,F_753285_2971295,,Current,SBRUNTON,1693273440000.0,749e3ff5-b240-4a13-b8da-a5640cb7af8a,-71.14038217350057,42.400795790708266
34,ADDR-279,53,FAIRMONT ST,53 FAIRMONT ST,1,Residential,101,002.0-0004-0008.0,F_753254_2971269,,Current,SBRUNTON,1693273440000.0,3502b019-0cb7-4f3a-8d2f-ed28d5f17f3b,-71.14052180118333,42.4007271314976
35,ADDR-285,112,FAIRMONT ST,112 FAIRMONT ST,1,Residential,101,002.0-0005-0001.0,F_752738_2970707,,Current,SBRUNTON,1693273262000.0,7635072f-cf9f-4d9f-a03b-f5e0ba2617ab,-71.14245085243881,42.39922868622398
36,ADDR-286,108,FAIRMONT ST,108 FAIRMONT ST,1,Residential,101,002.0-0005-0002.0,F_752780_2970736,,Current,,,2c274ca2-e2e9-40b7-9183-f4d909d2280f,-71.14231162030465,42.399305678386064
37,ADDR-288,100,FAIRMONT ST,100 FAIRMONT ST,1,Residential,101,002.0-0005-0005.0,F_752882_2970779,,Current,SBRUNTON,1693273085000.0,946cc8a6-2b84-46d9-a8e4-41bafab53133,-71.14196790089414,42.39948369019519
38,ADDR-294,8,HERBERT RD,8 HERBERT RD,1,Residential,101,002.0-0005-0012.0,F_753098_2970998,,Current,SBRUNTON,1693273325000.0,a073f638-1c6c-4ca6-a93b-61360e5085de,-71.14109438402143,42.400040515582084
39,ADDR-296,105,LAFAYETTE ST,105 LAFAYETTE ST,1,Residential,101,002.0-0005-0014.0,F_752812_2970669,,Current,SBRUNTON,1693273262000.0,2c10242e-ef89-4e04-b360-a4c1e468ccdb,-71.14218602942887,42.39913548558669
40,ADDR-297,68,FAIRMONT ST,68 FAIRMONT ST,1,Residential,101,002.0-0006-0001.0,F_753188_2971069,,Current,,,4bb95d35-6289-4831-b939-4c4e1d1bb35c,-71.1407926198339,42.400212678663166
41,ADDR-302,52,FAIRMONT ST,52 FAIRMONT ST,1,Residential,101,002.0-0006-0007.0,F_753388_2971212,,Current,SBRUNTON,1693273440000.0,eb0090bd-7ad7-4839-a912-9d3093475e50,-71.14009252728167,42.400617029030066
42,ADDR-304,61,LAFAYETTE ST,61 LAFAYETTE ST,2,Residential,104,002.0-0006-0009.0,F_753398_2971133,,Current,SBRUNTON,1690031271000.0,c8f1d98d-4c51-4e93-9132-0314a0f06210,-71.1400128059748,42.400379243119275
43,ADDR-305,63,LAFAYETTE ST,63 LAFAYETTE ST,1,Residential,101,002.0-0006-0010.0,F_753363_2971114,,Current,SBRUNTON,1693273440000.0,8c699e12-a461-4232-8a89-7d3719e7b96d,-71.14014051084982,42.400329187328595
44,ADDR-306,65,LAFAYETTE ST,65 LAFAYETTE ST,1,Residential,101,002.0-0006-0011.0,F_753328_2971092,,Current,SBRUNTON,1693273440000.0,06865a67-4915-4a68-8086-a1423a2dbc42,-71.14026169843795,42.40027662895734
45,ADDR-360,144,MASS AVE,144 MASS AVE,1,,325,003.0-0003-0002.B,F_753228_2972521,,Current,,,ded85e67-e799-4789-a8ca-6ad771411baa,-71.14059756976246,42.404230520324596
46,ADDR-389,134,MASS AVE,134 MASS AVE,1,,326,003.0-0004-0001.0,F_753313_2972431,,Current,,,90bc6882-82f7-4983-a318-9a6e1a7c9688,-71.14026941179854,42.403986856863376
47,ADDR-420,116,MASS AVE,116 MASS AVE,2,Residential,104,003.0-0005-0002.0,F_753474_2972213,,Current,SBRUNTON,1690031271000.0,63221ca0-9926-4727-89c6-06f438651a5d,-71.13969286425333,42.403375746498206
48,ADDR-451,10,VARNUM ST,10 VARNUM ST,1,Residential,105,003.0-0005-0034.0,F_753395_2972177,,Current,SBRUNTON,1690031953000.0,6de8b773-1fd2-49ba-85dd-1f443e64e3c6,-71.14008207867121,42.40333237990018
49,ADDR-524,62,HERBERT RD,62 HERBERT RD,1,Residential,101,004.0-0005-0013.0,F_752729_2971443,,Current,SBRUNTON,1693273085000.0,ded3af60-1aaa-4f7e-bdf7-e628361d5f53,-71.14245519459764,42.401239846982
50,ADDR-525,111,MAGNOLIA ST,111 MAGNOLIA ST,1,Open Space,930,004.0-0005-0018.0,F_752597_2971347,,Current,SBRUNTON,1691612006000.0,cc72162e-0d66-41fd-a653-da53fdf87fe5,-71.14298162139289,42.40098467792145
51,ADDR-542,65,MAGNOLIA ST,65 MAGNOLIA ST,1,Residential,101,004.0-0008-0008.0,F_752861_2971556,,Current,,,d921cf91-ad60-4585-8fe4-ded184f1b400,-71.1418993370643,42.40153710457467
52,ADDR-554,78-80,BROOKS AVE,78-80 BROOKS AVE,2,Residential,104,005.0-0001-0010.0,F_751789_2972185,,Current,SBRUNTON,1690031271000.0,3dd658d5-6268-43ab-8e3c-7ffef56f9656,-71.14587572441737,42.40332534906318
53,ADDR-562,52,LAKE ST,52 LAKE ST,1,,934,005.0-0002-0001.0,F_751975_2972530,,Current,,,2a1b6a7e-ad7e-4e6c-aee5-6e2c720a018f,-71.14542677983572,42.404158476903746
54,ADDR-563,40,LAKE ST,40 LAKE ST,1,Residential,101,005.0-0002-0002.A,F_752111_2972708,,Current,,,e5b7f795-cd69-4598-9c95-22027a0aa1f3,-71.14475897261913,42.404784615577405
56,ADDR-603,244,MASS AVE,244 MASS AVE,1,Mixed Use,013,006.0-0001-0004.0,F_752184_2973561,,Current,SBRUNTON,1697636445000.0,a33498a5-4b8d-46ec-b86e-70254af8d29d,-71.14439803799418,42.40715376928632
57,ADDR-617,9,FREEMAN ST,9 FREEMAN ST,1,Residential,101,006.0-0002-0009.0,F_752437_2973124,,Current,,,23663997-5dfc-4f4b-a033-c37eae60efb9,-71.143614679917,42.40579996811064
58,ADDR-626,190,MASS AVE,190 MASS AVE,1,,326,006.0-0003-0001.B,F_752781_2972946,,Current,,,54d4878e-7ce9-43b5-9533-f0768d50ca4b,-71.1421470093216,42.4054581398256
59,ADDR-656,30,FREEMAN ST,30 FREEMAN ST,1,Residential,101,006.0-0005-0003.0,F_752159_2973196,,Current,,,06dadcd4-a9da-4da8-a9f2-6533c753d5cc,-71.14453279925084,42.4061330540799
60,ADDR-658,22,FREEMAN ST,22 FREEMAN ST,1,Residential,101,006.0-0005-0005.0,F_752227_2973126,,Current,,,ddadb143-4c33-48c9-a2b2-d3975079cf7d,-71.14425618287922,42.405922824772404
61,ADDR-663,25,LAKE ST,25 LAKE ST,2,Residential,104,006.0-0005-0010.0,F_752289_2972951,,Current,SBRUNTON,1690031271000.0,8e3e3311-1c66-4399-9cd8-19c6bf00c29c,-71.14405676417309,42.405385959247525
62,ADDR-670,25,RANDOLPH ST,25 RANDOLPH ST,1,Residential,101,006.0-0005-0017.0,F_752050_2973164,,Current,,,6d0a7141-61f7-4b0a-9586-055cd2060d32,-71.14508979200527,42.405919857144234
63,ADDR-678,61,ORVIS RD,61 ORVIS RD,1,Residential,101,006.0-0006-0005.0,F_751723_2973195,,Current,,,e633bd34-6478-46a5-b958-4378f62918d4,-71.14610566151521,42.406016259304565
64,ADDR-684,18,RANDOLPH ST,18 RANDOLPH ST,2,Residential,104,006.0-0007-0004.0,F_752030_2973001,,Current,SBRUNTON,1690031271000.0,69f4c8ed-3aec-4225-b53f-40e209832b1b,-71.14502326383412,42.405531409434495
65,ADDR-688,39,LAKE ST,39 LAKE ST,1,Residential,104,006.0-0007-0008.0,F_752081_2972839,,Current,SBRUNTON,1690425784000.0,d0d99e17-1f39-40d3-bb52-6ae206265e6a,-71.1448639317789,42.405052978039386
66,ADDR-694,62,ORVIS RD,62 ORVIS RD,1,Residential,101,006.0-0007-0014.0,F_751843_2973059,,Current,,,090949f9-8caf-4ee2-aeb3-6599598ae580,-71.145776615551,42.40574527211133
67,ADDR-697,60,NEWCOMB ST,60 NEWCOMB ST,1,Residential,101,007.0-0001-0002.0,F_751516_2973313,,Current,,,84274936-64b6-4b31-847e-f7b520c328c0,-71.14694962184959,42.40638867943657
68,ADDR-698,56,NEWCOMB ST,56 NEWCOMB ST,2,Residential,104,007.0-0001-0003.0,F_751556_2973254,,Current,SBRUNTON,1690031271000.0,2f31b85c-b775-4713-b957-da54007bc8cf,-71.14682902185086,42.40623821623446
69,ADDR-703,83,ORVIS RD,83 ORVIS RD,1,Residential,101,007.0-0001-0008.0,F_751608_2973018,,Current,,,f1c2d30e-b275-48ca-8a8f-cf3b9acf8723,-71.14660153431733,42.405569080569634
70,ADDR-706,165,BROOKS AVE,165 BROOKS AVE,1,Residential,101,007.0-0001-0011.0,F_751508_2973195,,Current,,,5086a234-b366-4919-a22e-f12bccafc9e0,-71.14704915597012,42.40609933784113
71,ADDR-707,169,BROOKS AVE,169 BROOKS AVE,1,Residential,101,007.0-0001-0012.0,F_751471_2973261,,Current,,,d8974b06-6e25-420f-9ddc-123d02c32e4f,-71.14718763173738,42.40629749554724
72,ADDR-714,55,LAKE ST,55 LAKE ST,1,Residential,101,007.0-0002-0006.0,F_751788_2972746,,Current,,,007c2fec-d29c-4e89-be29-b04df2a6d5ff,-71.1458972768863,42.40475130208716
73,ADDR-717,88,ORVIS RD,88 ORVIS RD,1,Residential,101,007.0-0002-0009.0,F_751687_2972857,,Current,,,ebe4786c-d96b-41fc-a9d1-45409225c024,-71.14635899586578,42.40519589380244
74,ADDR-718,82,ORVIS RD,82 ORVIS RD,1,Residential,101,007.0-0002-0010.0,F_751722_2972907,,Current,,,daac9e06-7ffa-40a6-b328-38108bf9598a,-71.1462695507502,42.40531207423664
75,ADDR-720,174,BROOKS AVE,174 BROOKS AVE,1,Residential,101,007.0-0003-0001.0,F_751357_2973253,,Current,,,2a42807c-b1d5-44df-a96e-2a97c6a6d554,-71.1475356376634,42.40626256154181
76,ADDR-721,166,BROOKS AVE,166 BROOKS AVE,1,Residential,101,007.0-0003-0002.A,F_751392_2973171,,Current,,,7ebd9271-a43c-4e81-b791-e841343648ed,-71.14737855479382,42.40604269559848
77,ADDR-722,160,BROOKS AVE,160 BROOKS AVE,1,Residential,101,007.0-0003-0003.A,F_751418_2973105,,Current,,,23db069c-beb3-4b22-b920-4adefcac2201,-71.14722555900924,42.40585253037519
78,ADDR-725,146,BROOKS AVE,146 BROOKS AVE,1,Residential,101,007.0-0003-0006.0,F_751484_2972963,,Current,,,9928e301-e321-4471-9a56-8e0fb9012a7b,-71.14698089748794,42.405457978485764
79,ADDR-726,142,BROOKS AVE,142 BROOKS AVE,1,Residential,101,007.0-0003-0007.0,F_751536_2972916,,Current,,,b28df863-9eac-4c49-9498-0b0cdd463948,-71.1469006219611,42.40529867944407
80,ADDR-727,91,ORVIS CIR,91 ORVIS CIR,1,Residential,101,007.0-0003-0008.0,F_751481_2972880,,Current,,,c31fdc4d-bb11-4665-b75b-85af88cbfc56,-71.14703086357635,42.40519780591263
81,ADDR-728,128,BROOKS AVE,128 BROOKS AVE,1,Residential,101,007.0-0004-0001.0,F_751625_2972749,,Current,,,09db8fb8-c274-4d0a-8bb5-085fcdc70e5a,-71.14650966964743,42.404863831327184
82,ADDR-732,96,ORVIS CIR,96 ORVIS CIR,1,Residential,101,007.0-0004-0005.0,F_751544_2972718,,Current,,,49fd7406-912d-410e-83fc-574ae3a0a2d3,-71.1468902015633,42.40476089143469
83,ADDR-772,302,MASS AVE,302 MASS AVE,1,,960,008.0-0001-0001.0,F_751430_2974315,,Current,,,0ab9afe0-7f77-4e63-8822-3e34e55ed933,-71.14728908938736,42.40909829392568
84,ADDR-774,292,MASS AVE,292 MASS AVE,1,Mixed Use,031,008.0-0001-0003.0,F_751557_2974196,,Current,SBRUNTON,1697636445000.0,6924359c-4c5b-4793-8515-071c6273f4b5,-71.14667619885661,42.408912271718776
85,ADDR-788,14,LINWOOD ST,14 LINWOOD ST,1,,961,008.0-0001-0016.0,F_751307_2974333,,Current,,,0305c838-fd69-4bbb-ad7a-caeb73dfb2a8,-71.14768685026762,42.40924816658281
86,ADDR-795,12-12A,BELKNAP ST,12-12A BELKNAP ST,2,Residential,104,008.0-0002-0007.0,F_751262_2974054,,Current,SBRUNTON,1690031271000.0,f1dde68c-71f9-4082-9adb-db156736e16c,-71.147771589542,42.40850673539986
87,ADDR-798,4,BELKNAP ST,4 BELKNAP ST,1,Residential,101,008.0-0002-0010.0,F_751380_2973933,,Current,,,d008841b-ced3-4566-8fbc-3d9c0e01e48c,-71.1473854181876,42.40823069780039
88,ADDR-800,18,MARION RD,18 MARION RD,2,Residential,104,008.0-0002-0013.0,F_751643_2973878,,Current,SBRUNTON,1690031271000.0,a9d4ca21-51bf-47e4-ac3d-4d3fe9270dba,-71.14650033049125,42.407979547146084
89,ADDR-802,46,ELMHURST RD,46 ELMHURST RD,1,Residential,101,008.0-0002-0018.0,F_751643_2973726,,Current,,,15556ce9-e8ae-4008-a966-ce44b741e9d7,-71.14641892790243,42.407487556319175
90,ADDR-803,42,ELMHURST RD,42 ELMHURST RD,1,Residential,101,008.0-0002-0019.0,F_751603_2973684,,Current,,,36266a55-b693-4823-800d-863620e9f94a,-71.14657011263746,42.40736595039817
