Year,LandUseCode,BuildingValue,YardValue,LandValue,Acres,SpecialLand,TotalValue,anum,FullAddress,ParcelID
2026,102  - Condo,1411300,0,0,0.00,0.0,1411300,16986,65 APPLETON ST #B,165.0-0005-0017.0
2025,102  - Condo,1357700,0,0,0.00,0.0,1357700,16986,65 APPLETON ST #B,165.0-0005-0017.0
2026,101  - One Family,370800,1400,498200,"5,312.00",0.0,870400,13070,268 APPLETON ST,169.0-0007-0003.0
2025,101  - One Family,376200,1400,475100,"5,312.00",0.0,852700,13070,268 APPLETON ST,169.0-0007-0003.0
2024,101  - One Family,343300,1000,475100,"5,312.00",0.0,819400,13070,268 APPLETON ST,169.0-0007-0003.0
2023,101  - One Family,330700,1000,422900,"5,312.00",0.0,754600,13070,268 APPLETON ST,169.0-0007-0003.0
2022,101  - One Family,298300,1000,405600,"5,312.00",0.0,704900,13070,268 APPLETON ST,169.0-0007-0003.0
2021,101  - One Family,289300,1000,405600,"5,312.00",0.0,695900,13070,268 APPLETON ST,169.0-0007-0003.0
2020,101  - One Family,289400,1000,405600,"5,312.00",0.0,696000,13070,268 APPLETON ST,169.0-0007-0003.0
2019,101  - One Family,232100,1000,405600,"5,312.00",0.0,638700,13070,268 APPLETON ST,169.0-0007-0003.0
2018,101  - One Family,233900,1000,341800,"5,312.00",0.0,576700,13070,268 APPLETON ST,169.0-0007-0003.0
2017,101  - One Family,233900,1000,312900,"5,312.00",0.0,547800,13070,268 APPLETON ST,169.0-0007-0003.0
2016,101  - One Family,233900,1000,266500,"5,312.00",0.0,501400,13070,268 APPLETON ST,169.0-0007-0003.0
2015,101  - One Family,220900,1000,231700,"5,312.00",0.0,453600,13070,268 APPLETON ST,169.0-0007-0003.0
2014,101  - One Family,220900,1000,214400,"5,312.00",0.0,436300,13070,268 APPLETON ST,169.0-0007-0003.0
2013,101  - One Family,220900,1000,203900,"5,312.00",0.0,425800,13070,268 APPLETON ST,169.0-0007-0003.0
2012,101  - One Family,249000,1000,185400,"5,312.00",0.0,435400,13070,268 APPLETON ST,169.0-0007-0003.0
2011,101  - One Family,249000,1000,185400,"5,312.00",0.0,435400,13070,268 APPLETON ST,169.0-0007-0003.0
2010,101  - One Family,249000,1000,185400,"5,312.00",0.0,435400,13070,268 APPLETON ST,169.0-0007-0003.0
2009,101  - One Family,235400,0,187100,"5,312.00",0.0,422500,13070,268 APPLETON ST,169.0-0007-0003.0
2008,101  - One Family,245200,0,187100,"5,312.00",0.0,432300,13070,268 APPLETON ST,169.0-0007-0003.0
2007,101  - One Family,258100,0,197000,"5,312.00",0.0,455100,13070,268 APPLETON ST,169.0-0007-0003.0
2006,101  - One Family,247000,0,159700,"5,312.00",0.0,406700,13070,268 APPLETON ST,169.0-0007-0003.0
2005,101  - One Family,233000,0,156400,"5,312.00",0.0,389400,13070,268 APPLETON ST,169.0-0007-0003.0
2004,101  - One Family,233000,0,156400,"5,312.00",0.0,389400,13070,268 APPLETON ST,169.0-0007-0003.0
2003,101  - One Family,158700,0,127500,"5,312.00",0.0,286200,13070,268 APPLETON ST,169.0-0007-0003.0
2002,101  - One Family,158700,0,115900,"5,312.00",0.0,274600,13070,268 APPLETON ST,169.0-0007-0003.0
2001,101  - One Family,158700,0,115900,"5,312.00",0.0,274600,13070,268 APPLETON ST,169.0-0007-0003.0
2000,101  - One Family,98900,0,94600,0.12,0.0,193500,13070,268 APPLETON ST,169.0-0007-0003.0
1999,101  - One Family,98900,0,94600,,0.0,193500,13070,268 APPLETON ST,169.0-0007-0003.0
1998,101  - One Family,98900,0,86000,,0.0,184900,13070,268 APPLETON ST,169.0-0007-0003.0
1997,101  - One Family,92800,0,77400,,0.0,170200,13070,268 APPLETON ST,169.0-0007-0003.0
1996,101  - One Family,92800,0,77400,,0.0,170200,13070,268 APPLETON ST,169.0-0007-0003.0
1995,101  - One Family,92800,0,77400,,0.0,170200,13070,268 APPLETON ST,169.0-0007-0003.0
1994,101  - One Family,105200,0,75100,,0.0,180300,13070,268 APPLETON ST,169.0-0007-0003.0
1993,101  - One Family,105200,0,75100,,0.0,180300,13070,268 APPLETON ST,169.0-0007-0003.0
1992,101  - One Family,108500,0,77400,,0.0,185900,13070,268 APPLETON ST,169.0-0007-0003.0
2026,101  - One Family,352500,4500,518100,"6,560.00",0.0,875100,14110,450 APPLETON ST,179.0-0006-0004.0
2025,101  - One Family,347300,4500,493400,"6,560.00",0.0,845200,14110,450 APPLETON ST,179.0-0006-0004.0
2024,101  - One Family,316300,3800,474900,"6,560.00",0.0,795000,14110,450 APPLETON ST,179.0-0006-0004.0
2023,101  - One Family,269100,3800,444100,"6,560.00",0.0,717000,14110,450 APPLETON ST,179.0-0006-0004.0
2022,"959  - Housing, Oth",257000,3800,431800,"6,560.00",0.0,692600,14110,450 APPLETON ST,179.0-0006-0004.0
2021,"959  - Housing, Oth",248300,3800,431800,"6,560.00",0.0,683900,14110,450 APPLETON ST,179.0-0006-0004.0
2020,"959  - Housing, Oth",248400,3800,431800,"6,560.00",0.0,684000,14110,450 APPLETON ST,179.0-0006-0004.0
